,features,coef
0,EDTime,[0.3066504]
1,0,[0.42599357]
2,1,[-0.84763336]
3,2,[0.08623125]
4,3,[0.10320331]
5,4,[0.40487908]
6,5,[0.35139951]
7,6,[1.99082091]
8,7,[0.12798835]
9,8,[0.04005938]
10,9,[-0.20334292]
11,10,[0.10324756]
12,11,[0.47303639]
13,12,[0.12562514]
14,13,[-0.07362275]
15,14,[-1.57329276]
16,15,[-0.01573803]
17,16,[0.25538766]
18,17,[0.74667631]
19,18,[0.22587895]
20,19,[-0.46866432]
21,20,[-0.46799758]
22,21,[-0.79596452]
23,22,[-0.12549161]
24,23,[-0.37086412]
25,24,[-0.17247902]
26,25,[0.19649466]
27,26,[0.40332072]
28,27,[-0.23810313]
29,28,[0.16001967]
30,29,[0.19701954]
31,30,[0.80141813]
32,31,[-0.10811454]
33,32,[2.63609911]
34,33,[-0.17532399]
35,34,[-0.17463848]
36,35,[-1.11925688]
37,36,[-0.34997028]
38,37,[0.44364959]
39,38,[0.44027416]
40,39,[0.0370575]
41,40,[0.78514966]
42,41,[0.1052071]
43,42,[-0.04337906]
44,43,[-1.01100018]
45,44,[0.33937953]
46,45,[0.19111236]
47,46,[-0.53898719]
48,47,[0.28740585]
49,48,[0.17706758]
50,49,[0.12656957]
51,50,[0.29101281]
52,51,[-0.01276698]
